ID,Name in English,Name in French,Name in Spanish,Countries,Country codes alpha 3,ISO639-3 codes,Degree of endangerment,Alternate names,Name in the language,Number of speakers,Sources,Latitude,Longitude,Description of the location
2432,Ersu,ersu,ersu,China,CHN,ers,Definitely endangered,"Lizu, Tosu",,15000,Bradley 2007,28.7778,102.1277,
1180,Gangte,gangte,gangte,India,IND,gnb,Definitely endangered,,,15000,,24.1968,93.587,"Manipur, mostly in southern Churachandpur Dt."
24,Gurdu-Mbaaru,gurdu-mbaaru,guruntum,Nigeria,NGA,grd,Severely endangered,Gurutum-Mbaaru,,15000,"Roger Blench, Ethnologue",9.7415,10.4534,
1145,Ha-lung Tibetan,walung,halung tibetano,Nepal,NPL,ola,Definitely endangered,Wallung; Walung; Olangchung Gola,,15000,"Driem, George van. 2001. Languages of the Himalayas. Volumes 1 and 2. Hand-book of Oriental Studies. Section Two: India. Leiden/Boston/Köln: Brill.

Driem, George van. 2007. 'South Asia and the Middle East', pp. 283-347 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.

ethnologue.com",27.6831,87.8256,"Tāplejuṅ district, near the headwaters of the Tamor river"
2445,Hlersu,hlersu,sansu,China,CHN,hle,Vulnerable,"Shansu, Sansu",,15000,Bradley 2007,24.3789,102.046,
2254,Juk,juk,juk,Lao People's Democratic Republic,LAO,,Definitely endangered,Suai,,15000,Bradley 2007,15.3333,106.85,
1681,Kwama,kwama,kwama,Ethiopia,ETH,kmq,Vulnerable,,,15000,Ethnologue,9.5465,34.2059,
2434,Laemae,laemae,lama,China,CHN,,Severely endangered,"Lama, Northern Bia",,15000,Bradley 2007,26.4179,98.7758,
539,Lavua,lavua,lavüa,Thailand,THA,lcp,Definitely endangered,"Lua, Lawa",,15000,,18.4483,98.1848,
648,Macushi (Brazil),macushi (Brésil),macusí (Brasil),Brazil,BRA,mbc,Vulnerable,"Makuxí, Macuxi, Macushi, Pemon",,15000,"Databank Moore, 2008.",3.7765,-61.1279,"Linguist Ianes says that maintenance is problematical, even many native teachers don't speak the language"
1361,Nahali,nahali,nahalí,India,IND,nlx,Definitely endangered,Nahal; Nahale; Kalto,,15000,"van Driem 2007c, p. 305",21.4735,74.0258,"Madhya Pradesh, south of the Tapti river in Nimar and Ellichpur districts, especially around the village of Tembi 40 km east of Burhanpur. "
2448,Naluo,naluo,naluo,China,CHN,ylo,Vulnerable,Laluo,,15000,Bradley 2007,26.5895,100.8506,
2401,Nyoe,nyoe,nyoe,Thailand,THA,,Definitely endangered,Eu,,15000,,14.9102,104.6049,
1524,O'odham (Akimel),o'odham (Akimel),papago (Akimel),United States of America,USA,ood,Definitely endangered,"Upper Piman, Akimel O'odham, Pima, Papago-Piman",,15000,,33.059,-112.0479,"The Akimel O'odham dialect is spoken on the Gila River, Salt River, and Ak Chin reservations in southern Arizona."
871,O'odham (Tohono),o'odham (Tohono),papago (Tohono),United States of America,USA,ood,Definitely endangered,"Upper Piman, Tohono O'odham, Papago, Papago-Piman",,15000,,31.9186,-111.8798,"The Tohono O'odham dialect is spoken on the Tohono O'odham, San Xavier, and Gila Bend reservations in southern Arizona."
2031,Paiwan,paiwan,paiwan,China,CHN,pwn,Vulnerable,,,15000,,22.4313,120.7809,Taiwan Province
2428,Rao,rao,rao,China,CHN,tct,Definitely endangered,"Ten, T'en, Yanghuang",,15000,Bradley 2007,25.871,107.0476,
2294,Semai,semai,semái,Malaysia,MYS,sca,Severely endangered,,,15000,Bradley 2007,4.3039,101.445,
1719,Shatt,shatt,shatt,Sudan,SDN,shj,Severely endangered,Caning,,15000,"C. Stevenson, Ethnologue",10.8117,29.7235,"Shatt Hills, southwest of Kadugli"
6,Siwi,siwi,siví,Egypt,EGY,siz,Definitely endangered,"Siwa, Tsiwit, Tasiwit, Zenati, Tamazight (generic)",,15000,"No official statistics. Several recent visits by specialists of Tamazight linguistics and minority studies produced rough estimates. 
 ",29.1905,25.5322,"Siwi is spoken in the Oasis of Siwa located in western  of Egypt,  70 kms from the Lybian  border and  560 km away from Cairo. "
1289,Tagargrent,tagargrent,wargla,Algeria,DZA,oua,Severely endangered,"Tamazight, Berbere de Ouargla",,15000,"Jean Delheure in Agerraw n iwalen teggargrent-tarumit -Dictionnaire Ouargli-Francais, SELA 1987
Chaker, local sources (informal interviews).",30.9587,4.0209,"Ouargla, Ngouça"
2162,Tayurayt,tayurayt,tayurayt,Algeria,DZA,,Vulnerable,"Gouraya, taqbaylit
Tamazight n Iyurayen",,15000,Official population sources and various local internet sites.,36.5648,1.9061,Gouraya and surrounding region
2324,Totoli,totoli,tolitoli,Indonesia,IDN,txe,Vulnerable,"Tolitoli, Gage",,15000,Grimes 2000,0.8953,120.2838,Sulawesi
286,Aruaco,aruaco,aruaco,Colombia,COL,arh,Vulnerable,"Ika, Ijka, Bíntukwa",,14799,"Arango and Sánchez, 'Los pueblos indígenas de Colombia' (2004)",10.0986,-73.5424,"Sierra Nevada de Santa Marta, northern Colombia"
441,Yakkha,yakkha,yakha,Nepal,NPL,ybh,Critically endangered,याक्खा; Yakkhaba,,14648,"Driem, George van. 2001. Languages of the Himalayas. Volumes 1 and 2. Hand-book of Oriental Studies. Section Two: India. Leiden/Boston/Köln: Brill.

Driem, George van. 2007. 'South Asia and the Middle East', pp. 283-347 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.

2001 census (ethnologue.com)",27.1908,87.3358,Saṅkhuvā Sabhā and Dhankuṭā districts
1584,Kuruba,kuruba,kurumba,India,IND,kfi,Critically endangered,"Kurumba
",,14613,,11.4369,76.3549,"Tamil Nadu (Coimbatore, Pollachi, Dharmapuri, Chengalpet, S.Arcot, and Western Fields, and Western Gate) and Karnataka and also in Andhra Pradesh"
707,Tuamotuan,tuamotuan,tuamotuano,French Polynesia (France),PYF,pmt,Definitely endangered,Pa'umotu,,14400,"Wurm, Stephen 2007. 'Australia and the Pacific', pp. 425-578 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge
Grimes 2000",-14.9354,-147.7455,Tuamotu archipelago
62,Katla,katla,catla,Sudan,SDN,kcr,Definitely endangered,"Akalak, Kalak",,14208,"C. Stevenson, Ethnologue",11.7329,29.3939,
294,Garífuna (Belize),garifuna (Belize),garífuna (Belize),Belize,BLZ,cab,Vulnerable,,,14061,"The census figures come from internet: Population and Housing Census as recorded by the Centro Centroamericano de Población, Universidad de Costa Rica.  This holds for all the indigenous lgs of Belize",17.1833,-88.5833,"Dangriga, Stann Creek, Toledo"
1109,Thulung,thulung,thulungo,Nepal,NPL,tdh,Definitely endangered,थुलुङ; Thulu; Tulung,,14034,"Driem, George van. 2001. Languages of the Himalayas. Volumes 1 and 2. Hand-book of Oriental Studies. Section Two: India. Leiden/Boston/Köln: Brill.

Driem, George van. 2007. 'South Asia and the Middle East', pp. 283-347 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.

ethnologue.com
",27.4534,86.6423,Southern Solukhumbu district
1190,Bawm,bawm,chin bom,"Bangladesh, India","BGD, IND",bgr,Definitely endangered,"Chin, Bawm",,14000,,22.1874,92.6477,"Mizoram: Chhimtuipui, Lunglei, and Aizawl districts; Tripura; and Assam"
1666,Guajajara,guajajára,guajajara,Brazil,BRA,gub,Vulnerable,,,14000,"Moore, 2008.",-4.8282,-46.8017,
703,Niuean,niue,niue,Niue,NIU,niu,Definitely endangered,,,14000,Grimes 2000,-19.0491,-169.8706,"1260 on Niue, remainder mostly in New Zealand"
2574,Uhunduni,uhunduni,uhunduní,Indonesia,IDN,uhn,Vulnerable,,,14000,"Wurm, Stephen A. 2007. 'Australia and the Pacific', pp. 424-557 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.",-4.2054,137.031,Irian Jaya
1300,Gusilay,gusilay,gusilay,Senegal,SEN,gsl,Vulnerable,,,13950,"Ethologue, Adjaratou Sall",12.7019,-16.4382,
1816,Xavante,xavante,xavanté,Brazil,BRA,xav,Vulnerable,"A’uwe, Awen, Akwe, Akwen",,13303,"www.socioambiental.org
Moore, 2008, IBGE databank
Moore, 2008, Scientific American (Brasil)
Hall Joan, Ruth Alice McLeod and Valerie Mitchell, compiler (2004).",-14.4832,-53.5305,"The group lives in in the 9 Indigenous Lands: Chão Preto, Ubawawe , Parabubure, Marechal Rondom, Maraiwatsede, São Marcos, Pimentel Barbosa, Areões and Sangradouro/Volta Grande."
2304,Dondo,dondo,dondo,Indonesia,IDN,dok,Vulnerable,Dongo,,13000,Grimes 2000,0.747,120.4266,Sulawesi
1168,Khampti,khampti,jamtí,India,IND,,Vulnerable,,,13000,,27.8827,96.5093,"Lohit Valley Dt., concentrated in and around Chowkham"
11,Nalu,nalu,nalu,Guinea,GIN,naj,Definitely endangered,,,13000,"Ethnologue, Tucker Childs",10.9523,-14.7629,
1721,Tagoi,tagoi,tagoí,Sudan,SDN,tag,Severely endangered,,,13000,Ethnologue,10.8252,30.1657,"Moreb, Tagoi, Turjok, Tumale Hill"
71,Karko,karko,karko,Sudan,SDN,kko,Definitely endangered,,,12986,"C. Stevenson, Ethnologue",11.964,29.4186,
939,San Mateo del Mar Huave,huave de San Mateo del Mar,huave de San Mateo del Mar,Mexico,MEX,huv,Vulnerable,,,12667,"Contributor: Samuel Herrera, Census 2005",16.2,-94.9833,"Municipality of San Mateo del Mar, Oaxaca"
1751,Q'eqchi' (Belize),q’eqchi' (Belize),cachí (Belize),Belize,BLZ,kek,Vulnerable,Ketchí,,12366,"The census figures come from internet: Population and Housing Census as recorded by the Centro Centroamericano de Población, Universidad de Costa Rica.  This holds for all the indigenous lgs of Belize",16.8107,-88.3999,"Southern Belize, Stann Creek"
52,Kadaru,kadaru,kadaru,Sudan,SDN,kdu,Definitely endangered,Kodoro,,12360,Ethnologue,12.1789,30.2398,
1286,Mazatlán Mazatec,mazatèque de Mazatlán,mazateco de Mazatlán,Mexico,MEX,vmz,Vulnerable,"ienra naxinandana, Mazateco del suroeste, Southwestern Mazatec",,12340,Census 2000 and information provided by INALI,18.033,-96.8999,"Municipalities of Mazatlán Villa de Flores, San Juan de los Cues and Santa María Tecomayaca in the state of Oaxaca"
1309,Badiaranke,badiaranké,badiara / badyara,Guinea,GIN,pbp,Severely endangered,Badyara,,12205,"Ethnologue, Adjaratou Sall, Tucker Childs ",12.4043,-13.5736,"Spoken in Guinea, Guinea-Bissau and Senegal.

 "
2327,Alune,alune,alune,Indonesia,IDN,alp,Vulnerable,,,12000,Grimes 2000,-3.0637,128.3752,Maluku
1606,Bangani,bangani,bangani,India,IND,gbm,Critically endangered,Baṅgāṇī,,12000,,29.8692,79.0686,"Uttarakhand, in the Garhwal area known as 'Bangan'"
1046,Chamalal,chamalal,chamalal,Russian Federation,RUS,cji,Definitely endangered,,,12000,"П. Т. Магомедова: Чамалинский язык. — Языки Российской Федерации и соседних государств: энциклопедия III. Москва: Наука, 2005.",42.5712,46.0739,"the villages of Upper Gakvari, Lower Gakvari, Agvali, Tsumada, Richaganik, Gadyri, Gigatl’, and Kvankhi in Tsumada County in the Republic of Daghestan"
2238,Chru,chru,cru,Viet Nam,VNM,cje,Vulnerable,,,12000,,11.4666,109.05,
1090,Hill Miri,miri,hill miri,India,IND,mrg,Definitely endangered,"Miri, Mising, Mishing",,12000,,27.7078,94.0374,"Lower Subansiri Dt, concentrated in and around the town of Raga"
2446,Jinuo,jinuo,yinuo,China,CHN,"jiy, jiu",Definitely endangered,,,12000,Bradley 2007,21.4758,101.3111,
2435,Muya,muya,muya,China,CHN,mvm,Vulnerable,Menyak,,12000,Bradley 2007,30.2593,101.7497,
556,Samei,sani,samei,China,CHN,smh,Severely endangered,Sani,,12000,Bradley 2007,25.0756,103.0133,
2617,Tajio,tajio,tajio,Indonesia,IDN,tdj,Vulnerable,,,12000,"Wurm, Stephen A. 2007. 'Australia and the Pacific', pp. 424-557 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.",-0.0954,120.0173,"East coast of the neck, close to Kasimbar and Tada, Sulawesi"
2618,Tobada',tobada,tobada',Indonesia,IDN,tdj,Extinct,Bada,,12000,"Wurm, Stephen A. 2007. 'Australia and the Pacific', pp. 424-557 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.",-2.019,119.4708,"On the headwaters of the Budong-Budong River, Sulawesi"
1333,Yurt Tatar,tatar yurt,tártaro de yurt,Russian Federation,RUS,,Definitely endangered,,,12000,"Л. Ш. Арсланов: Юртовских татар язык. — Языки Российской Федерации и соседних государств: энциклопедия III. Москва: Наука, 2005.",46.3943,48.3288,"Volga (Privolzhskiy), Nariman and Volodarskiy counties in Astrakhan Province; also in the suburbs of the city of Astrakhan; an outlying dialect of Nogay not listed at all by the SIL"
1489,Yaqui (Mexico),yaqui (Mexique),yaqui (México),Mexico,MEX,yaq,Vulnerable,hiak-nooki,,11806,"Contributor Zarina Estrada, 2000 Census and information provided by INALI",27.6436,-110.296,"Localities of Vicam, Potam, and others in the municipality of Guaymas; municipalities of Bacum, Cajeme, Empalme, and San Ignacio Río Muerto in the state of Sonora"
1784,Ch'orti' (Guatemala),ch’orti' (Guatemala),chortí (Guatemala),Guatemala,GTM,caa,Definitely endangered,Chortí,,11734,XI Nacional de Población for number of speakers and names of languages; contributor H. Antonio García Zúñiga consulted Ethnologue for some locations,14.968,-89.2905,"La Unión in municipality of Zacapa; Jocotán, Camotán, Olopa, Quetzaltepeque"
919,Filomeno Mata Totonac,totonaque de Filomeno Mata,totonacano filomeno mata-coahuillán,Mexico,MEX,tlp,Vulnerable,Totonaco central alto,,11710,Contributors:  Carolyn MacKay and Frank Treschel; their sources are the 2005 Census and information given by INALI,20.198,-97.7022,"Filomeno Mata, state of Veracruz"
917,Northern Totonac,totonaque septentrional,totonacano septentrional,Mexico,MEX,,Critically endangered,"Totonaco central del norte, Xicotepec de Juárez Totonac",,11529,Contributors: Carolyn MacKay and Frank Treschel; data based on 2005 Census and INALI  information,20.2741,-97.955,"Jalpan, Pantepec, Tlacuilotepec, Xicotepec de Juárez (State of Puebla); Ixhuatlán de Madero (State of Veracruz)"
1733,Komo,komo,como,"Ethiopia, Sudan","ETH, SDN",xom,Definitely endangered,"Gokwom, Madiin",,11500,Ethnologue,9.0804,34.0905,
19,Tuwuli,bowili,bowiri,Ghana,GHA,bov,Vulnerable,"Bowili, Tora",,11400,Ethnologue,7.0572,0.3845,
1824,Poqomam,pokomam,Poqomam,Guatemala,GTM,,Definitely endangered,,,11273,XI Censo Nacional de Población for number of speakers and names of languages; contributor H. Antonio García Zúñiga consulted Ethnologue for some locations,14.6455,-89.7274,"Chinautla, Jalapa, San Luis Jilotepeque"
1084,Idu,idu,chulikata,"China, India","CHN, IND",clk,Definitely endangered,"Mishmi, Chulikata Mishmi",,11101,Bradley 2007,28.6496,95.8419,Upper and Lower Dibang districts
683,Kari'ña (Venezuela),galibi (République bolivarienne du Venezuela),galibi (Venezuela),Venezuela (Bolivarian Republic of),VEN,"car, ciy",Severely endangered,Galibi in Brazil,,11000,"Mosonyi and Mosonyi (2000), 'Manual de lenguas indígenas de Venezuela'",8.4941,-64.0942,"State of Anzoategui, also Monagas and Sucre (Venezuela)."
731,Machiguenga,machiguenga,machiguenga,Peru,PER,mcb,Definitely endangered,Matsigenka,,11000,ILV. 2006.. Pueblos del Perú. Lima.,-11.8888,-72.9052,"Depto. del Cusco, Prov. de  La  Convención, distrito de  Echarate, cuenca de río Urubamba. Algunos en el departamento de  Madre de  Dios."
1963,Piaroa (Venezuela),piaroa (République bolivarienne du Venezuela),piaroa (Venezuela),Venezuela (Bolivarian Republic of),VEN,pid,Vulnerable,Uwotjüja. De'aruwa.,,11000,"Mosonyi and Mosonyi (2000), 'Manual de lenguas indígenas de Venezuela'",4.5435,-66.7089,
714,Tuvaluan,tuvalu,tuvaluano,Tuvalu,TUV,tvl,Definitely endangered,,,11000,Grimes 2000,-8.5049,179.187,Tuvalu and New Zealand
322,Waunana (Colombia),waunana (Colombie),waumeo (Colombia),Colombia,COL,noa,Vulnerable,"Wounaan, Noanama",,11000,"Arango and Sánchez, 'Los pueblos indígenas de Colombia' (2004)
González and Rodríguez, 'Lenguas indígenas de Colombia' (2000)
Brenzinger, 'Language Diversity Endangered' (2007)",4.2806,-77.0581,Colombia: Lower San Juan river basin in departments of Chocó and Valle del Cauca. A few thousand speakers in Panamá.
1296,Noon,noon,noono,Senegal,SEN,snf,Vulnerable,Serer-Noon,,10925,Adjaratou Sall,14.8173,-16.5234,
1102,Sampang,sampang,sampang,Nepal,NPL,rav,Vulnerable,साम्पाङ; Sangpang,,10810,"Huysmans, René. 2008. Personal communication.

Driem, George van. 2001. Languages of the Himalayas. Volumes 1 and 2. Hand-book of Oriental Studies. Section Two: India. Leiden/Boston/Köln: Brill.

Driem, George van. 2007. 'South Asia and the Middle East', pp. 283-347 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.

ethnologue.com
",27.257,86.9444,Khoṭāṅ and Bhojpur districts.
690,Central Alaskan Yupik (2),yupik d'Alaska Centrale (2),yupí alasquiano central (2),United States of America,USA,esu,Vulnerable,,,10400,"Krauss 2007
Golla et al. ms.",61.4387,-160.4882,
691,Central Alaskan Yupik (Nuniak Island),yupik d'Alaska Centrale (île Nunivak),yupí alasquiano central (isla de Nunivak),United States of America,USA,esu,Vulnerable,Yup'ik,,10400,"Krauss 2007
Golla et al. ms.",59.8889,-166.289,
2665,Bukiyip,bukiyip,arapeso montañés,Papua New Guinea,PNG,ape,Vulnerable,"Arapesh Abu', Mountain Arapesh, Arapesh Buki, Kavu",,10304,"Wurm, Stephen A. 2007. 'Australia and the Pacific', pp. 424-557 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.",-3.4256,143.0886,"Toricelli mountains, Yangoru District, East Sepik Province"
2610,Saparua,saparua,saparua,Indonesia,IDN,spr,Definitely endangered,,,10216,"Wurm, Stephen A. 2007. 'Australia and the Pacific', pp. 424-557 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.",-3.5757,128.6464,"Saparua and Seram Island, Lease Islands, central Maluku"
1083,Darai,darai,darai,Nepal,NPL,dry,Severely endangered,दराई; दराइ; दरै,,10210,"Driem, George van. 2001. Languages of the Himalayas. Volumes 1 and 2. Hand-book of Oriental Studies. Section Two: India. Leiden/Boston/Köln: Brill.

Driem, George van. 2007. 'South Asia and the Middle East', pp. 283-347 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.

ethnologue.com",27.9264,84.331,"Citvan, Tanahũ, Gorkhā, Navalparāsī and Pālpā districts"
1303,Bandial,bandial,bandal,Senegal,SEN,bqj,Vulnerable,,,10125,"Ethnologue, Adjaratou Sall, Tucker Childs",12.5317,-16.1553,
55,Bongo,bongo,bongo,Sudan,SDN,bot,Definitely endangered,Dor,,10084,Ethnologue,6.1405,31.7999,
1484,Northwestern Tarahumara,tarahumara nord-occidental,tarahumara noroccidental,Mexico,MEX,"tac, thh",Vulnerable,rarámuli raicha,,10031,"Contributor Zarina Estrada, 2000 Census and information provided by INALI",27.9169,-107.0552,"Locality of Arisiachi and others in the municipality of Bocoyna; municipalities of Cariachi, Cuauhtemoc, Guerrero, Nonoava and San Francisco Borja in the state of Chihuahua"
1343,Algherese Catalan,catalan alguerais,alguerés,Italy,ITA,cat,Definitely endangered,,,10000,Enquesta d’usos lingüístics a l’Alguer 2004 available online: http://www6.gencat.net/llengcat/socio/docs/EULA2004.pdf,40.5638,8.3276,the town of Alghero in northwestern Sardinia; an outlying dialect of Catalan not listed separately by the SIL
330,Aragonese,aragonais,aragonés,Spain,ESP,arg,Definitely endangered,,,10000,"Nagore, F., ""La situation sociolinguistique de l'aragonais"", en Boyer, H. et Lagarde, Ch. (dir.), L'Espagne et ses langues, Paris, L'Harmattan, 2002, pp. 169-186.",42.2935,-0.4394,"the high valleys of the Pyrenees, notably Aragon River (Somontano), Sobrarbe and Ribagorza, in the northern part of the Huesca (Uesca) region in the northeast of Aragón, main towns being Graus and Sabiñánigo (Samianigo)"
2430,Baima,baima,baima,China,CHN,bqh,Vulnerable,,,10000,Bradley 2007,33.1531,103.8696,
1678,Bukharic,boukharique,bukárico,Uzbekistan,UZB,bhh,Definitely endangered,"Bukharan, Judeo-Tajik, Bokharic, Bukharin, Bokharian.",,10000,,39.8043,64.4224,"Bukhara city and sorrounding areas, Uzbekistan"
2029,Bunun,bunun,bunún,China,CHN,bnn,Vulnerable,,,10000,,23.3624,121.1077,Taiwan Province
119,Burunge,burunge,burunguí,United Republic of Tanzania,TZA,bds,Vulnerable,,,10000,Roland Kießling,-4.7297,35.7769,
743,Chayahuita,chayahuita,chayahuita,Peru,PER,cbt,Definitely endangered,"Shawi, Chawi",,10000,"I. Pozzi-Escot (1998), 'El Multilingüismo en el Perú'",-5.3425,-76.6955,"Departamentos de Loreto y San Martín, cuenca de  los ríos Paranapura, Cahuapanas, Shillay y Shanusi"
903,Cherokee (Oklahoma),cherokee (Oklahoma),cheroki (Oklahoma),United States of America,USA,chr,Definitely endangered,,,10000,"Victor Golla, Ives Goddard, Lyle Campbell, Marianne Mithun, and Mauricio Mixco. 2007. North America. Atlas of the World’s Languages (2nd. edition), ed. by R.E. Asher and C.J. Moseley, 7-44.  London: Routledge.",36.7544,-98.3569,"Cherokee Nation, OKlahoma, and United Keetoowah Band of Oklahoma and Arkansas."
344,Dalecarlian,dalécarlien,dalecarliano,Sweden,SWE,swe,Definitely endangered,“Elfdalian” (the core dialect spoken in Älvdalen),,10000,"Yair Sapir: Elfdalian, the Vernacular of Övdaln [2004]. http://www.nordiska.uu.se/arkiv/konferenser/alvdalska/konferensbidrag/Sapir.pdf",61.2385,14.0295,"the central parts of Dalarna Province, with core area in the south of Älvdalen County; the original ISO code [dlc] for Dalecarlian has been retired on false grounds"
605,"Huitoto (Colombia, Peru)","huitoto (Colombie, Pérou)","huitoto (Colombia, Perú)","Colombia, Peru","COL, PER","hto, huu, hux",Definitely endangered,"Uitoto, Witoto. Murui, Mïnïca and Muinane are subgroups.",,10000,"Pozzi-Escot (2000), 'El multilingüismo en el Perú'
Arango and Ochoa (2004), 'Los pueblos indígenas de Colombia'",-3.0308,-71.8066,"Depto. de  Loreto, Prov. de  Mariscal Castilla, aldea de  Pucaurquillo en la  cuenca  del río Ampiyaco. También en el río Putumayo y Nanay.
Colombia: Putumayo (rivers Caquetá, Putumayo, Cará-Paraná and Igará-Paraná."
2173,Hulaula (Israel),hulaula (Israël),hulaulá (Israel),Israel,ISR,huy,Severely endangered,"Lishana Noshan, Lishana Axni, Jabali, Galligallokh, Hula Hula, Judeo-Aramaic, Jewish Northeastern Neo-Aramaic",,10000,H. Mutzafi (1999 and personal communication),32.2128,34.9118,All over the country.  Population originally immigrated from Iranian Kurdistan and bordering Iraqi towns.  
139,Karang,karanga,karango,Chad,TCD,kth,Vulnerable,Kurunga,,10000,Ethnologue,8.3093,15.3588,
1516,Karelian (Tver),carélien (Tver),carelio (Tver),Russian Federation,RUS,krl,Definitely endangered,,,10000,"Eberhard Winkler: Karelisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Miloš Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 667–672.",58.1533,36.101,"Tver’ Province, mainly around Tolmachi, Maksatikha and Ves’yegonsk"
1298,Karone,karone,karon,Senegal,SEN,krx,Vulnerable,,,10000,"Ethnologue, Adjaratou Sall",12.7769,-16.7733,
1055,Kryz,kriz,kryts,Azerbaijan,AZE,kry,Severely endangered,Kryts; Jek,,10000,"Б. Б. Талибов: Крызский язык. — Языки Российской Федерации и соседних государств: энциклопедия II. Москва: Наука, 2001.",41.1455,48.164,"the villages of Kryz, Jek, Khaput, Yergyuj and Alyk in Kuba (Quba) County and in expatriate communities elsewhere in Azerbaijan"
300,"Kurripako (Colombia, Venezuela)","kurripako (Colombie, République bolivarienne du Venezuela)","curripaco (Colombia, Venezuela)","Colombia, Venezuela (Bolivarian Republic of)","COL, VEN",kpc,Definitely endangered,Curripaco. Baniwa do Içana (Brazil).,,10000,"Arango and Sánchez, 'Los pueblos indígenas de Colombia' (2004)
González and Rodríguez, 'Lenguas indígenas de Colombia' (2000)
Brenzinger, 'Language Diversity Endangered' (2007)",2.3723,-67.5659,"Colombia: departments of Guanía, Vichada and Vaupés. 
Venezuela: states of Amazonas and Bolívar.
Brazil: state of Amazonas.
Upper Río Negro and Vaupés rivers area."
1246,Kurtöp,kurtöp,kurtöp,Bhutan,BTN,xkz,Vulnerable,Gurtü; Kürthöp; Kurteop,,10000,"Driem, George van. 1991. Report on the First Linguistic Survey of Bhutan. Thimphu: Royal Government of Bhutan.

Driem, George van. 2001. Languages of the Himalayas. Volumes 1 and 2. Hand-book of Oriental Studies. Section Two: India. Leiden/Boston/Köln: Brill.

Driem, George van. 2007. 'South Asia and the Middle East', pp. 283-347 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.

ethnologue.com

",27.7127,90.9667,"Lhüntsi district, up to Tibetan border, west of Kurichu river"
535,Lamgang,lamgang,lamkang,India,IND,lmk,Critically endangered,Lamkang,,10000,Ethnologue,24.2569,94.0759,
2447,Miqie,yi de miqie,michal miqie,China,CHN,yiq,Definitely endangered,"Micha, Mielang, Minqi",,10000,Bradley 2007,26.9053,100.8506,
1956,Mojo,moxo,mojo,Bolivia (Plurinational State of),BOL,"ign, trn",Definitely endangered,,,10000,"Crevels et alii (2000), 'Current Studies on South American Languages'     
Ott, Willis and Rebecca B. Ott. 1983. Diccionario ignaciano y castellano, con apuntes gramáticales.‭  Cochabamba: Instituto Lingüístico de Verano. 644 p.
",-14.966,-65.1708,
1198,Muot,muot,nicobarés central,India,IND,ncb,Critically endangered,"Nancowry, Camorta",,10000,Prof. Udaya Narayana Singh (personal communication),8.0932,93.4963,"on the islands of Nancowry (Muot), Kamorta (Camorta, Kalat or Kinlaha), Trinket (Laful) and Katchal (Tinhnyu)"
1589,Naiki,naiki,naiquí,India,IND,nit,Critically endangered,South-Eastern Kolami; Melta-Kinwat;,,10000,,19.8287,78.2281,Maharashtra (Chandrapur and Nanded) and Andhra Pradesh (Adilabad)
1948,Ñandeva Guarani,guarani-ñandeva,guaraní ñandeva,Brazil,BRA,nhd,Vulnerable,"Chiripá, Avá-Chiripá, Avá-Guaraní",,10000,"www.sociombiental.org
Moore, 2008, IBGE databank 
Moore, 2008, Scientific American (Brasil)
",-22.0652,-54.7558,"Brazil, States of Paraná and Mato Grosso do Sul"
27,Ngwaba,ngwaba,enguaba,Nigeria,NGA,ngw,Severely endangered,,,10000,"Roger Blench, Ethnologue",9.9904,12.81,
394,North Frisian,frison du nord,frisón septentrional,Germany,DEU,frr,Severely endangered,,,10000,,54.7341,8.7478,"western coast of Schleswig north of Husum including the Halligen Islands and the adjacent islands of Föhr, Amrum, Sylt and Helgoland"
483,Northern Khanty,khanty septentrional,jantí septentrional,Russian Federation,RUS,kca,Definitely endangered,"dialects: Ob’ Khanty, Shuryskary and Berezovo Khanty, Kazym Khanty, Sherkaly Khanty, Niz’yam Khanty",,10000,"Daniel Abondolo: Khanty. — The Uralic languages. Edited by Daniel Abondolo. London & New York: Routledge, 1998. 358–386.",63.7047,66.676,"the lower Ob’ basin and on its tributaries, mainly in Beloyarskiy and Oktyabr’skoye counties and in the adjacent parts of Berezovo County in Khanty-Mansi Autonomous District and in Shuryskary County and the southern parts of Ural (Priural’skiy) County in Yamal Nenets Autonomous District"
